BuildingID,BuildingType,YearBuilt,MonthlyElectricityConsumption_kWh,PeakUsageTime_Hour,RenewableCapacity_kWh,RenewableType,RenewableContributionPercentage,EnergySource,EnergyEfficiency_kWh_per_m2,WeatherData_Temperature_C,WeatherData_SolarIntensity_Hours,WeatherData_WindSpeed_km_h
B002112,Commercial,,718.14,0,9999.55,Solar,93.98,Biomass,16.78,14.16,8.36,76.79
B002113,Commercial,,111.3,20,14683.59,Hydro,56.15,Mixed Sources,15.43,26.83,1.99,110.25
B002114,Residential,,41.04,18,8086.51,Wind,72.61,Biomass,26.93,-18.61,4.11,58.16
B002115,Educational,,367.88,12,7913.28,Solar,64.49,Electricity,11.16,41.33,11.38,34.13
B002116,Residential,,102.07,20,1467.0,Solar,54.36,Electricity,27.45,-3.91,11.41,66.36
B002117,Commercial,,669.91,13,1073.76,Solar,82.08,Electricity,12.56,32.49,3.82,76.67
B002118,Retail,,156.12,7,7407.04,Solar,75.01,Electricity,37.03,26.61,10.87,40.01
B002119,Government,,218.6,12,2831.42,Wind,46.38,Electricity,49.21,9.2,6.42,84.23
B002120,Residential,,85.32,17,0.0,Tidal,0.0,Natural Gas,21.84,12.92,8.29,116.78
B002121,Government,1996.0,79.0,2,13675.95,Hydro,67.37,Electricity,33.33,20.74,9.05,83.87
B002122,Hospitality,,1029.43,6,4059.75,Solar,84.13,Biomass,11.11,35.98,7.02,24.7
B002123,Retail,,555.16,21,4470.05,Hydro,,Mixed Sources,25.1,6.73,7.4,47.63
B002124,Residential,,12.56,17,5340.71,Solar,87.35,Mixed Sources,40.25,-11.68,3.99,78.8
B002125,Residential,,103.26,5,2490.49,Hydro,69.43,Electricity,22.35,-16.46,7.54,14.2
B002126,Industrial,2020.0,2225.62,8,7129.15,Solar,99.46,Electricity,10.98,43.71,8.03,
B002127,Healthcare,,20.39,6,9100.39,Solar,74.74,Electricity,38.26,31.29,2.43,28.49
B002128,Healthcare,1929.0,48.81,21,2596.08,Geothermal,23.19,Electricity,38.33,-4.25,2.47,111.19
B002129,Commercial,,241.8,16,0.0,None,0.0,Natural Gas,38.28,11.72,9.17,87.06
B002130,Residential,,100.25,7,3173.88,Solar,61.3,Electricity,14.89,19.1,3.26,119.99
B002131,Healthcare,,75.46,3,13685.62,Wind,30.68,Electricity,10.55,-14.29,3.69,25.88
B002132,Residential,,98.58,0,5122.42,,50.31,Electricity,24.19,2.85,11.75,37.84
B002133,Industrial,,1759.29,0,8472.8,Wind,53.65,Electricity,13.45,1.14,11.62,32.4
B002134,Residential,,71.54,10,2504.28,Solar,86.09,Electricity,21.34,23.93,11.31,24.36
B002135,Residential,,85.49,1,11670.54,Wind,58.35,Electricity,11.3,10.9,5.29,110.42
B002136,Commercial,1946.0,194.68,3,13069.99,Hydro,44.12,Biomass,44.93,20.09,9.88,9.98
B002137,Residential,,17.5,22,3579.79,Hydro,67.28,Electricity,46.49,21.64,11.18,17.75
B002138,Residential,,144.67,9,7525.17,Solar,90.38,Mixed Sources,13.94,-14.3,3.78,1.54
B002139,Industrial,,1064.29,8,3589.41,Geothermal,42.53,Biomass,15.72,-17.12,7.19,0.96
B002140,Commercial,,350.44,14,10192.43,Wind,66.79,Electricity,21.77,-5.68,11.5,112.17
B002141,Residential,,207.67,23,6369.92,Wind,80.22,Mixed Sources,10.21,2.28,0.14,33.36
B002142,Commercial,1989.0,398.42,12,9243.39,Solar,89.99,Electricity,20.05,18.54,9.21,29.63
B002143,Residential,2000.0,93.69,15,15415.85,Hydro,63.44,Mixed Sources,22.05,-18.58,1.26,101.06
B002144,Residential,,79.6,23,3645.22,Solar,90.54,Electricity,17.02,7.32,11.86,27.34
B002145,Recreational,1975.0,211.87,23,5744.14,Solar,61.2,Electricity,49.7,28.45,2.63,
B002146,Healthcare,1997.0,15.47,19,9320.92,Solar,94.93,Electricity,39.76,40.65,6.63,60.43
B002147,Residential,,41.43,7,19591.75,Hydro,65.32,Biomass,41.66,20.74,11.23,12.05
B002148,Educational,,416.52,9,7517.04,Hydro,78.32,Electricity,30.12,-7.2,4.79,76.6
B002149,Residential,,53.99,0,17911.18,Hydro,52.57,Biomass,35.14,-9.55,11.91,5.4
B002150,Commercial,,250.17,22,16073.75,Hydro,63.26,Biomass,42.48,-4.91,0.61,34.94
B002151,Residential,,18.22,3,5860.17,Solar,68.05,Electricity,35.36,-0.23,9.27,79.44
B002152,Religious,,354.68,5,4719.81,Hydro,75.38,Mixed Sources,35.38,33.94,9.38,34.1
B002153,Residential,,157.98,13,6932.74,Hydro,55.16,Electricity,5.21,25.73,3.54,65.87
B002154,Retail,1901.0,297.81,11,1917.38,Solar,65.48,Electricity,46.32,-17.89,8.24,74.84
B002155,Commercial,,295.39,21,12768.7,Hydro,65.73,Electricity,38.16,5.5,5.53,101.34
B002156,Industrial,,215.8,0,4232.82,Solar,63.02,Electricity,42.33,-2.26,4.1,56.06
B002157,Commercial,1994.0,373.64,12,8990.13,Wind,83.71,Electricity,28.34,3.05,1.48,22.47
B002158,Industrial,,205.98,0,4916.75,Geothermal,,Electricity,38.14,-10.66,5.22,3.44
B002159,Residential,,40.8,13,18753.67,Hydro,68.24,Mixed Sources,34.62,42.21,6.48,66.82
B002160,Sports,1913.0,205.66,17,2784.38,Wind,63.33,Biomass,24.64,-19.42,7.9,28.56
B002161,Educational,,63.98,18,13706.75,Wind,84.46,Electricity,35.11,21.22,3.6,62.14
B002162,Educational,,377.29,10,5185.22,Solar,99.06,Electricity,26.2,3.63,8.5,23.46
B002163,Commercial,,152.99,20,4737.39,Geothermal,27.82,Electricity,37.76,37.1,3.97,17.48
B002164,Agricultural,,409.34,17,17166.98,Hydro,,Electricity,22.37,20.57,11.36,69.85
B002165,Commercial,1965.0,154.91,21,2208.44,Biomass,30.17,Electricity,16.67,36.78,10.81,82.63
B002166,Hospitality,,82.58,17,4727.53,Geothermal,40.27,Electricity,48.57,-2.64,5.19,37.59
B002167,Retail,,449.2,1,12844.35,Hydro,44.25,Biomass,28.52,44.47,5.57,118.3
B002168,Religious,1980.0,325.75,18,8176.87,Solar,85.18,Electricity,9.39,39.67,5.85,22.35
B002169,Residential,,59.87,15,5795.92,Solar,89.49,Electricity,48.44,-19.39,0.48,59.71
B002170,Industrial,1995.0,719.94,18,8000.23,Solar,51.72,Biomass,31.68,-15.14,7.91,40.81
B002171,Hospitality,2010.0,416.34,1,1332.21,Wind,81.71,Electricity,31.08,42.7,9.03,82.94
B002172,Residential,,35.43,4,6012.18,Solar,93.59,Biomass,46.21,35.16,5.24,98.49
B002173,Government,,508.08,12,1426.04,Geothermal,59.55,Electricity,11.58,28.14,0.73,89.53
B002174,Residential,,60.07,3,1089.03,Solar,97.62,Biomass,31.92,-4.29,11.35,31.32
B002175,Healthcare,1928.0,134.43,12,8943.04,Hydro,67.33,Electricity,7.57,-8.5,7.72,72.47
B002176,Residential,,55.23,7,1646.5,Solar,,Electricity,47.79,-10.81,8.1,99.74
B002177,Educational,1980.0,136.85,1,4831.46,Wind,77.56,Electricity,40.15,-18.89,2.78,71.49
B002178,Educational,,134.93,22,1784.67,Biomass,15.87,Biomass,11.82,-17.55,11.92,94.87
B002179,Commercial,1905.0,161.28,13,2619.34,Geothermal,58.79,Biomass,16.32,-2.78,10.12,107.44
B002180,Healthcare,,35.62,1,5303.55,Wind,70.84,Biomass,33.47,32.21,9.23,54.88
B002181,Residential,,116.49,14,5342.15,Solar,50.17,Mixed Sources,19.44,29.57,1.5,114.42
B002182,Residential,,117.31,23,1093.85,Wind,36.22,Electricity,22.59,0.1,10.38,98.69
B002183,Sports,1985.0,248.26,14,6124.52,Wind,82.67,Electricity,43.19,-9.97,5.46,13.11
B002184,Commercial,1949.0,1147.04,13,9852.18,Solar,93.75,Electricity,5.91,44.02,2.4,119.36
B002185,Commercial,,436.74,7,1356.75,Solar,62.04,Electricity,17.42,18.28,7.38,54.49
B002186,Government,,135.84,14,18472.24,Hydro,78.46,Mixed Sources,46.86,40.39,7.2,67.01
B002187,Commercial,,477.91,7,4149.28,Solar,75.84,Electricity,11.72,-4.98,5.25,11.99
B002188,Residential,,83.61,13,7782.7,Solar,76.3,Electricity,30.11,16.89,10.43,94.42
B002189,Residential,,239.19,3,4266.74,Geothermal,41.86,Electricity,8.49,2.37,2.64,11.31
B002190,Residential,,76.11,18,721.26,Solar,84.44,Biomass,18.85,2.17,11.94,55.6
B002191,Residential,,42.04,6,6733.05,Wind,35.64,Electricity,21.02,-6.04,2.8,30.22
B002192,Residential,,122.88,2,1886.57,,31.39,Electricity,11.69,24.28,6.07,79.07
B002193,Government,,1218.73,15,3120.22,Solar,86.64,Biomass,5.91,44.79,2.44,26.31
B002194,Industrial,1995.0,1058.45,1,17090.51,Hydro,43.79,Electricity,11.52,44.35,8.79,17.48
B002195,Educational,,140.21,15,11874.58,Wind,71.54,Electricity,40.14,10.32,7.75,16.33
B002196,Religious,,548.34,13,6679.62,Wind,66.91,Biomass,19.85,0.25,2.95,106.45
B002197,Commercial,,348.26,22,9095.22,,60.35,Electricity,22.66,19.76,11.0,85.57
B002198,Healthcare,,212.29,5,6172.79,Wind,74.32,Electricity,11.7,26.81,3.91,116.98
B002199,Residential,,51.68,8,1839.75,,54.57,Electricity,43.75,26.03,0.24,50.59
B002200,Residential,1977.0,139.75,4,11303.91,Wind,34.14,Biomass,17.3,30.87,3.32,93.65
B002201,Healthcare,,387.95,15,8759.88,Wind,69.83,Electricity,6.77,-1.81,5.76,84.84
B002202,Retail,,1178.43,14,13119.18,Hydro,43.51,Electricity,12.3,-13.17,11.28,84.1
B002203,Residential,,85.12,13,11264.83,Hydro,53.26,Electricity,14.96,44.47,4.62,73.82
B002204,Residential,,157.07,13,4386.31,Geothermal,42.28,Electricity,5.51,34.9,1.58,92.13
B002205,Industrial,1988.0,2563.85,7,19160.43,Hydro,49.74,Electricity,5.05,-7.64,10.31,14.4
B002206,Commercial,,559.51,10,9262.58,Hydro,61.11,Electricity,25.7,23.75,1.51,69.6
B002207,Healthcare,1986.0,110.29,22,5888.5,Solar,61.97,Electricity,13.5,8.39,6.55,64.75
B002208,Educational,,148.43,22,3884.62,Solar,85.96,Electricity,16.13,6.9,2.37,19.16
B002209,Commercial,,107.59,6,11960.11,Wind,52.51,Electricity,29.68,-11.91,11.51,31.06
B002210,Residential,1906.0,308.78,13,1792.45,Wind,,Electricity,6.13,-16.68,6.26,60.95
B002211,Healthcare,,76.14,8,17113.6,Hydro,44.71,Electricity,21.7,6.47,11.34,62.9
B002212,Healthcare,,27.39,0,5918.46,Solar,65.98,Biomass,42.04,-19.86,0.9,17.12
B002213,Hospitality,,247.61,8,1425.9,Solar,54.19,Biomass,12.43,15.96,6.65,103.7
B002214,Residential,1934.0,62.21,21,10287.66,Wind,76.25,Electricity,46.1,20.93,8.02,76.31
B002215,Residential,,25.48,8,9507.0,Wind,66.5,Biomass,43.6,25.0,7.36,56.3
B002216,Educational,1999.0,136.34,19,7556.26,Solar,74.71,Mixed Sources,17.79,-8.41,1.96,49.82
B002217,Residential,,101.63,20,11405.93,Wind,89.07,Electricity,10.25,-15.82,4.08,116.05
B002218,Commercial,,287.23,20,3742.95,Solar,90.12,Electricity,35.83,-5.76,2.24,85.41
B002219,Educational,,885.68,11,2723.14,Solar,95.06,Electricity,12.39,-13.95,2.98,65.87
B002220,Commercial,,392.93,4,12251.96,Hydro,63.57,Electricity,30.03,5.05,9.5,41.1
B002221,Residential,1984.0,60.0,21,6032.86,Hydro,67.43,Electricity,38.79,-1.18,10.92,39.33
B002222,Educational,,298.83,17,9794.84,Wind,68.96,Electricity,47.92,-14.52,0.94,26.77
B002223,Commercial,,52.57,7,17088.24,Hydro,71.86,Mixed Sources,40.62,20.77,2.57,78.67
B002224,Residential,,51.04,13,13028.79,Wind,85.82,Electricity,33.41,43.43,2.84,92.16
B002225,Residential,,146.73,12,17658.09,Hydro,71.59,Electricity,12.48,-5.95,10.87,40.25
B002226,Commercial,,214.86,14,8853.01,Solar,,Electricity,21.8,-8.71,0.58,77.01
B002227,Industrial,,1427.79,11,9302.72,Hydro,70.74,Electricity,16.43,-12.94,11.78,3.62
B002228,Government,,350.45,1,0.0,None,0.0,Oil,26.35,-2.75,7.39,113.35
B002229,Commercial,1938.0,218.1,10,7887.75,Solar,80.4,Biomass,48.89,6.86,5.08,27.52
B002230,Residential,,72.96,12,1373.73,Wind,84.38,Electricity,15.22,-10.35,7.44,52.0
B002231,Residential,,44.61,10,10682.5,Hydro,66.93,Mixed Sources,17.41,7.89,6.85,61.82
B002232,Residential,,26.23,16,5490.92,Wind,76.77,Electricity,46.8,-1.16,7.86,55.88
B002233,Recreational,,177.68,5,5869.69,Solar,62.06,Electricity,16.88,36.16,9.25,44.91
B002234,Retail,1987.0,1290.91,4,1757.96,Solar,81.41,Mixed Sources,8.62,21.78,4.87,71.46
B002235,Residential,,25.25,23,3979.87,Solar,64.14,Biomass,46.39,26.16,2.0,59.99
B002236,Commercial,,399.65,18,4739.88,Solar,61.62,Electricity,33.35,25.41,7.14,
B002237,Commercial,2004.0,239.04,20,6970.73,Solar,86.41,Electricity,31.11,23.45,1.61,108.95
B002238,Retail,,763.87,21,1671.13,Solar,62.87,Electricity,13.53,30.45,2.16,64.01
B002239,Healthcare,,102.24,17,6789.81,Solar,51.39,Electricity,27.61,5.13,5.34,35.46
B002240,Commercial,1988.0,348.12,17,9816.38,Solar,53.04,Electricity,16.2,39.24,6.56,4.69
B002241,Residential,,30.58,13,4812.97,Solar,,Biomass,34.17,36.84,2.63,84.85
B002242,Residential,,30.12,4,14557.74,Wind,60.76,Electricity,44.38,29.31,3.76,32.21
B002243,Residential,,76.46,7,15938.27,Hydro,78.55,Electricity,37.17,3.09,5.41,110.74
B002244,Residential,,141.67,14,2390.83,Geothermal,25.08,Electricity,21.08,30.24,3.13,113.44
B002245,Residential,2000.0,52.46,16,8217.53,Solar,71.13,Biomass,31.93,33.91,5.79,8.18
B002246,Residential,,92.08,13,10285.26,Wind,80.65,Biomass,28.04,25.18,8.45,39.82
B002247,Industrial,2016.0,480.21,8,8958.61,Wind,53.61,Electricity,35.29,0.58,1.78,111.21
B002248,Residential,,119.91,19,2161.49,Solar,75.22,Electricity,20.4,38.01,10.79,28.62
B002249,Religious,,901.47,16,6199.34,Wind,38.3,Electricity,11.88,-18.84,4.65,22.62
B002250,Healthcare,1907.0,28.2,18,0.0,Tidal,0.0,Coal,48.47,26.73,2.78,102.6
B002251,Residential,,71.74,21,11482.52,,71.09,Electricity,40.6,-1.07,11.0,6.33
B002252,Government,,209.07,14,3745.19,Geothermal,41.32,Electricity,38.96,42.92,8.32,52.78
B002253,Hospitality,,173.29,23,8084.82,,89.7,Electricity,15.04,-10.92,7.03,35.58
B002254,Commercial,,246.03,5,6859.62,Solar,50.24,Electricity,46.53,29.3,10.51,47.08
B002255,Hospitality,1997.0,706.27,5,12433.59,Wind,55.15,Electricity,8.54,16.6,1.64,71.25
B002256,Commercial,2020.0,532.49,0,7281.64,Solar,90.11,Electricity,25.9,-13.54,3.17,19.37
B002257,Residential,1990.0,69.75,11,2133.87,Solar,71.32,Electricity,25.57,-10.71,8.34,42.4
B002258,Commercial,,119.49,11,7228.0,Wind,32.5,Electricity,22.46,-0.68,6.0,19.43
B002259,Educational,,893.45,11,9425.35,Solar,62.7,Electricity,8.33,24.34,8.17,101.56
B002260,Residential,1901.0,276.54,23,13148.17,Wind,80.97,Electricity,9.75,-13.97,0.22,
B002261,Residential,,175.19,5,3019.82,,,Electricity,16.88,43.71,6.33,61.15
B002262,Retail,,228.42,3,8987.88,Solar,71.37,Electricity,47.14,-6.9,3.12,93.53
B002263,Residential,,215.84,19,6048.72,Hydro,59.05,Electricity,10.17,-4.11,2.01,67.09
B002264,Commercial,2013.0,984.8,16,9142.87,Solar,83.7,Electricity,12.83,-5.85,0.71,89.64
B002265,Government,1907.0,447.52,11,7927.72,Solar,83.12,Electricity,33.3,-3.16,10.95,18.15
B002266,Residential,,66.62,23,2752.12,Geothermal,39.03,Electricity,40.16,12.65,0.34,44.06
B002267,Residential,1985.0,20.89,13,8093.12,Solar,79.85,Mixed Sources,37.03,32.26,4.89,26.55
B002268,Educational,,115.67,13,5890.3,Solar,77.06,Mixed Sources,16.09,44.68,3.58,106.65
B002269,Commercial,,186.85,16,14611.54,Wind,87.83,Mixed Sources,42.41,29.14,1.09,54.68
B002270,Industrial,,283.08,23,2456.75,Geothermal,,Electricity,26.3,44.48,3.31,68.41
B002271,Residential,,49.87,18,4794.96,Solar,71.15,Mixed Sources,45.31,7.97,7.47,5.25
B002272,Residential,,15.88,13,17215.95,Hydro,49.63,Electricity,35.49,-7.46,11.89,61.87
B002273,Residential,,31.95,9,7564.77,Solar,54.96,Biomass,44.78,4.51,7.61,81.99
B002274,Educational,,117.66,4,14179.46,Wind,51.8,Electricity,21.45,5.07,9.76,57.51
B002275,Commercial,,537.77,1,3950.11,Biomass,10.27,Electricity,14.26,18.38,4.51,40.52
B002276,Commercial,,341.9,12,8092.67,Solar,55.68,Electricity,19.17,-18.55,2.46,56.99
B002277,Government,,310.27,10,3761.63,Solar,,Biomass,36.3,21.17,11.4,110.73
B002278,Residential,1902.0,218.07,22,3264.37,Geothermal,31.08,Electricity,11.33,37.63,2.58,5.73
B002279,Residential,,44.2,16,9461.1,,74.28,Electricity,26.83,8.07,4.74,18.45
B002280,Residential,2022.0,45.62,19,13519.25,Wind,31.04,Electricity,40.32,21.84,1.39,15.86
B002281,Government,,1217.47,12,309.28,,49.09,Electricity,7.52,-0.71,1.32,50.53
B002282,Commercial,,471.04,12,5354.32,Wind,47.93,Biomass,31.45,14.87,4.28,87.67
B002283,Government,1997.0,33.52,22,12450.3,Hydro,65.54,Electricity,41.81,39.85,2.73,14.46
B002284,Residential,1980.0,115.97,22,6660.54,Solar,66.56,Electricity,25.17,1.39,7.6,17.58
B002285,Retail,,415.34,20,2114.1,Biomass,22.6,Electricity,7.83,-12.58,3.89,108.98
B002286,Residential,,99.08,15,7353.38,Solar,63.89,Electricity,27.39,-1.96,8.53,27.5
B002287,Residential,,52.32,22,4058.91,Solar,60.5,Electricity,47.9,-6.22,7.28,111.69
B002288,Government,,758.78,19,12597.84,Hydro,43.25,Electricity,17.91,14.28,11.62,79.64
B002289,Commercial,,34.9,2,12038.86,Wind,67.23,Electricity,35.44,-16.74,10.97,91.75
B002290,Commercial,,154.13,15,9691.75,Hydro,69.47,Electricity,10.98,40.17,6.72,37.65
B002291,Commercial,2016.0,835.58,0,2226.35,Geothermal,42.64,Electricity,16.23,6.71,2.1,
B002292,Commercial,2022.0,203.62,11,7202.35,Solar,,Biomass,7.76,42.26,3.82,19.27
B002293,Government,,1543.78,4,825.19,Solar,85.78,Mixed Sources,7.81,-8.98,4.03,90.26
B002294,Retail,2022.0,320.82,23,14784.17,Hydro,66.63,Electricity,32.48,38.34,5.09,111.2
B002295,Educational,,49.41,21,10165.83,Wind,73.65,Electricity,43.54,10.37,4.17,102.99
B002296,Industrial,2004.0,969.26,4,7923.01,Wind,41.2,Electricity,9.83,-15.83,10.23,39.18
B002297,Residential,,84.1,15,9555.58,Solar,,Electricity,35.6,-9.81,10.71,
B002298,Residential,2017.0,60.17,18,1455.77,Solar,88.83,Electricity,47.09,21.41,1.61,5.58
B002299,Residential,,20.75,13,3551.32,Solar,69.14,Electricity,48.46,13.09,3.53,96.41
B002300,Government,,275.76,1,16910.75,Hydro,64.79,Electricity,29.35,3.92,3.59,53.66
B002301,Healthcare,,80.82,19,1438.01,Wind,34.91,Electricity,18.71,22.54,6.49,102.7
B002302,Residential,,72.42,4,6117.53,Hydro,74.21,Electricity,10.61,18.03,10.35,45.71
B002303,Healthcare,1985.0,186.57,1,2253.71,Solar,78.51,Electricity,11.63,1.4,11.32,
B002304,Healthcare,,319.51,0,10489.36,Wind,62.55,Biomass,8.46,-13.74,5.49,80.0
B002305,Residential,1988.0,70.98,23,4650.13,Wind,55.49,Biomass,29.51,-9.31,6.76,82.11
B002306,Commercial,2015.0,623.26,4,10440.63,Wind,84.37,Biomass,15.78,24.03,11.0,38.67
B002307,Healthcare,1925.0,57.69,19,5045.1,Wind,46.53,Electricity,36.28,35.72,7.67,98.47
B002308,Commercial,2012.0,203.75,9,4827.63,Wind,38.27,Biomass,40.48,21.2,8.63,18.86
B002309,Retail,2005.0,237.0,8,2159.4,Solar,85.42,Electricity,17.15,-0.08,8.69,110.07
B002310,Industrial,,818.62,9,13249.21,Hydro,47.16,Electricity,12.62,-2.02,6.83,74.14
B002311,Residential,,36.53,22,2223.51,,86.16,Electricity,41.31,-4.73,4.55,
B002312,Residential,,95.87,3,631.34,Geothermal,46.26,Electricity,24.72,15.59,11.43,106.85
B002313,Agricultural,,237.09,23,4701.08,Wind,70.58,Electricity,48.47,8.63,0.11,75.72
B002314,Residential,,128.4,1,3338.02,,31.02,Electricity,11.86,9.62,10.09,30.25
B002315,Residential,,12.89,17,7435.15,Solar,94.29,Electricity,46.11,21.21,7.11,40.56
B002316,Residential,1948.0,74.86,4,2281.7,Solar,87.27,Electricity,28.49,24.78,8.81,64.12
B002317,Recreational,,118.41,4,8120.4,Solar,89.26,Electricity,20.45,28.29,9.39,27.03
B002318,Residential,,180.07,6,10925.69,Wind,64.05,Electricity,8.63,44.8,6.71,36.43
B002319,Commercial,,155.22,11,14344.71,Hydro,46.47,Mixed Sources,27.03,12.1,5.6,42.83
B002320,Residential,1907.0,38.55,11,3946.71,Solar,59.73,Electricity,42.47,-3.34,9.24,55.32
B002321,Residential,,44.48,4,6434.98,Solar,82.02,Biomass,27.49,15.13,3.36,4.32
B002322,Commercial,,630.19,11,2739.87,Geothermal,39.08,Mixed Sources,20.47,12.07,6.8,54.56
B002323,Industrial,1921.0,430.99,22,8123.31,Solar,51.21,Electricity,43.14,43.15,1.95,19.37
B002324,Commercial,,1124.69,22,12785.05,Wind,,Electricity,10.9,38.73,5.39,9.03
B002325,Religious,,195.43,12,1420.23,Wind,39.22,Biomass,49.55,38.12,9.97,21.64
B002326,Retail,,499.78,15,3173.94,Solar,51.53,Electricity,25.91,1.69,2.61,14.25
B002327,Commercial,,85.65,1,14103.86,Wind,88.87,Electricity,47.89,29.45,11.92,26.9
B002328,Residential,1964.0,189.95,2,5266.13,Wind,76.1,Mixed Sources,14.52,33.69,5.69,93.19
B002329,Commercial,,169.24,4,4367.95,Wind,84.7,Biomass,32.98,-6.41,0.88,15.41
B002330,Religious,,296.98,1,3290.06,Hydro,56.53,Electricity,44.13,35.89,9.68,108.06
B002331,Recreational,2013.0,309.09,8,2495.95,Geothermal,44.92,Electricity,26.43,43.6,1.09,67.03
B002332,Educational,,573.49,1,8080.81,Hydro,57.32,Electricity,20.91,-11.66,11.72,71.71
B002333,Residential,,68.63,10,10548.12,Wind,45.68,Electricity,25.17,4.44,4.08,46.49
B002334,Commercial,2012.0,409.96,6,9830.49,Solar,80.69,Electricity,24.65,31.6,7.55,91.32
B002335,Hospitality,,910.76,10,9178.58,Wind,85.44,Biomass,6.76,-13.43,4.4,59.63
B002336,Residential,,115.32,1,6982.52,Wind,77.84,Biomass,16.75,44.5,1.77,4.35
B002337,Educational,,316.53,12,1901.06,Solar,62.8,Electricity,15.41,-14.17,2.85,24.46
B002338,Educational,,1715.24,13,2674.35,Solar,87.7,Electricity,6.16,18.11,4.56,77.74
B002339,Educational,,111.94,6,10256.22,Wind,48.36,Electricity,38.88,-17.03,6.83,91.88
B002340,Residential,1986.0,52.02,21,8181.05,Wind,80.96,Electricity,35.55,25.25,1.26,103.69
B002341,Commercial,,691.81,22,1069.76,Wind,52.3,Electricity,9.38,-16.79,9.31,93.93
B002342,Residential,,61.21,13,3570.76,Wind,45.12,Mixed Sources,36.06,16.33,5.6,74.61
B002343,Hospitality,,117.19,1,7880.96,Wind,49.75,Electricity,33.57,-2.51,3.8,25.27
B002344,Educational,,1539.55,7,2022.31,,64.64,Electricity,6.42,15.25,3.44,28.77
B002345,Residential,,99.35,1,12748.9,Wind,62.96,Electricity,11.17,7.57,6.96,
B002346,Retail,,312.11,11,6122.23,Wind,,Electricity,22.28,35.85,2.3,10.07
B002347,Residential,2005.0,278.91,12,18076.1,Hydro,43.99,Electricity,10.26,14.84,1.7,20.85
B002348,Commercial,,535.36,17,1960.52,Wind,32.84,Mixed Sources,7.14,-5.33,6.55,103.82
B002349,Residential,,114.36,16,2486.5,Wind,62.32,Electricity,23.5,33.88,10.81,91.76
B002350,Residential,,48.45,21,2117.8,Geothermal,23.87,Electricity,41.34,43.36,10.03,
B002351,Educational,1983.0,44.25,23,11688.3,,67.72,Electricity,43.37,19.58,4.39,15.84
B002352,Residential,,36.12,9,18181.31,Hydro,56.56,Electricity,39.44,-11.14,7.76,47.94
B002353,Residential,,132.81,14,5270.75,Solar,97.23,Electricity,16.88,-4.74,11.33,50.0
B002354,Educational,,241.42,20,1838.38,Solar,68.7,Biomass,30.37,20.04,7.4,64.25
B002355,Residential,2009.0,118.45,8,5755.53,Solar,53.82,Mixed Sources,21.26,42.13,11.62,31.17
B002356,Religious,,171.12,9,3092.62,,57.71,Electricity,42.4,-8.43,1.84,71.75
B002357,Educational,,505.73,7,5497.99,Solar,87.21,Electricity,10.48,-13.32,2.65,44.33
B002358,Residential,,216.93,17,1028.63,Solar,54.17,Electricity,9.29,-8.85,4.86,13.67
B002359,Educational,,264.23,22,11406.01,Wind,48.28,Electricity,34.21,32.99,6.77,108.85
B002360,Industrial,,399.81,14,1432.11,Solar,62.57,Mixed Sources,27.86,28.14,6.14,81.29
B002361,Residential,,44.76,6,5631.74,Solar,55.74,Mixed Sources,13.05,21.48,11.91,42.58
B002362,Retail,,507.11,11,1661.5,Geothermal,50.01,Biomass,22.63,5.42,4.73,22.95
B002363,Residential,,103.0,13,5048.73,Solar,87.44,Biomass,20.8,-19.52,8.78,47.17
B002364,Healthcare,,114.47,22,18562.05,Hydro,40.98,Biomass,12.39,-14.94,10.45,115.91
B002365,Retail,,316.63,6,8490.94,Solar,61.3,Biomass,27.39,32.34,2.32,96.83
B002366,Commercial,,577.32,11,6715.61,Solar,70.26,Biomass,23.38,0.11,4.86,10.16
B002367,Religious,,403.74,15,1704.07,Geothermal,57.13,Mixed Sources,35.92,17.63,4.16,17.03
B002368,Commercial,,1030.39,1,0.0,None,0.0,Natural Gas,12.89,3.53,9.14,43.41
B002369,Residential,,88.25,7,8987.75,Solar,51.17,Biomass,27.44,43.64,3.01,68.39
B002370,Religious,,321.36,21,558.1,Solar,54.99,Biomass,43.91,-11.39,11.91,14.19
B002371,Residential,,252.84,18,5562.48,Solar,60.67,Electricity,11.0,2.35,2.91,93.5
B002372,Commercial,,699.66,18,6715.26,Solar,,Electricity,7.18,-2.77,4.06,50.72
B002373,Residential,,12.81,22,8288.75,Wind,,Biomass,39.38,25.54,6.19,20.84
B002374,Educational,,135.25,17,928.44,,50.96,Biomass,45.19,-8.77,2.5,
B002375,Residential,,50.11,18,2355.68,Hydro,,Electricity,20.25,-7.28,9.3,12.08
B002376,Sports,,363.56,1,779.82,Solar,53.39,Electricity,38.88,13.45,3.08,47.24
B002377,Religious,,122.44,9,3270.03,Solar,80.1,Mixed Sources,37.28,2.47,6.33,51.36
B002378,Industrial,,726.04,15,6753.73,Wind,58.1,Electricity,22.97,22.09,7.17,22.11
B002379,Residential,1989.0,36.94,22,9370.61,Solar,63.95,Mixed Sources,47.05,20.51,9.28,39.41
B002380,Recreational,,269.72,0,2857.95,Geothermal,20.67,Mixed Sources,49.52,24.38,0.26,17.31
B002381,Healthcare,,47.95,20,5609.39,Solar,74.42,Electricity,35.41,22.75,3.52,8.36
B002382,Retail,,302.48,8,656.58,Solar,67.01,Electricity,39.42,-14.94,5.32,61.85
