SensorID,SensorLocation,Pollutant_PM2.5_µg/m³,Pollutant_PM10_µg/m³,Pollutant_O3_ppb,Pollutant_NO2_ppb,Pollutant_CO_ppm,Pollutant_SO2_ppb,UrbanVegetationArea_m2,Humidity_%,AirTemperature_C,EnergySavingTechnology,AnnualEnergySavings_%,PopulationDensity_people/km²,RetrofitData,RenewableEnergyPercentage_%,AnnualEnergyConsumption_kWh,GreenSpaceIndex_%,HistoricPollutantLevels,Country,AQI_Index
S001421,Suburban,99.56,96.55,170.32,134.12,6.63,34.16,,61.87,4.68,LED Lighting,32.69,632.62,Yes,40.92,31016.1,45.73,191.66,Malaysia,100.47
S001422,Urban,104.66,74.05,31.86,40.6,16.83,68.47,,77.64,22.48,Insulation,34.54,2624.3,No,38.72,47822.24,20.49,262.01,Afghanistan,70.62
S001423,Industrial Area,59.81,101.59,150.2,122.7,3.69,39.82,855.55,34.68,3.42,Solar Panels,26.0,,No,29.65,24288.49,18.81,151.7,Indonesia,81.4
S001424,Urban,10.93,268.61,152.75,92.88,13.91,33.96,634.35,60.150000000000006,21.82,Solar Panels,16.29,2281.24,Yes,27.74,28432.51,37.43,276.58,Kyrgyzstan,93.38
S001425,Industrial Area,168.05,147.37,69.98,94.5,25.82,27.78,878.97,49.36,22.1,Efficient HVAC,9.95,,No,2.97,29776.39,58.54,239.17,South Korea,120.61
S001426,Rural,59.1,160.53,92.988,5.0,13.285,38.708,6717.35,61.36,-3.1,Efficient HVAC,22.69,,Yes,32.88,11002.93,42.67,126.69,Mongolia,73.46
S001427,Industrial Area,16.18,267.96,86.17,108.83,1.94,18.89,708.71,46.43,1.54,Solar Panels,28.07,1918.36,Yes,43.24,10547.41,22.26,268.13,Tajikistan,85.01
S001428,Industrial Area,124.23,345.64,179.55,60.33,26.01,7.85,1243.29,43.230000000000004,34.27,Solar Panels,27.06,1405.61,No,35.47,44813.57,26.85,226.35,Uzbekistan,154.78
S001429,Industrial Area,49.0,206.85,90.66,54.22,13.01,34.82,,82.67,26.01,,14.31,1162.38,No,0.27,45803.37,14.37,80.11,Tajikistan,83.03
S001430,Industrial Area,176.11,158.02,59.84,124.28,12.24,12.41,1400.69,65.17,-0.37,Smart Thermostats,26.23,1948.3,Yes,36.45,21080.92,28.29,239.95,Maldives,125.3
S001431,Rural,84.04,79.66799999999999,94.78,47.415,8.865,38.096,9720.37,73.96,13.11,LED Lighting,27.09,227.56,No,34.79,41114.39,10.32,260.13,Uzbekistan,71.3
S001432,Urban,52.25,271.35,83.1,36.84,32.89,6.9,,39.27,13.63,Solar Panels,23.01,2680.5,Yes,23.77,10465.0,32.64,152.58,Turkmenistan,94.95
S001433,Rural,42.67,129.036,27.139,48.315,8.845,10.556000000000001,6079.99,63.77,25.85,,7.0,152.72,No,2.53,10226.93,39.86,204.34,Timor-Leste,53.19
S001434,Rural,79.36,203.60399999999998,66.304,62.52,3.095,7.18,,75.07,-5.37,Solar Panels,13.38,171.17,Yes,18.35,24845.32,28.05,212.56,Bangladesh,89.33
S001435,Industrial Area,226.27,124.15,27.48,118.51,44.42,90.23,,61.71,9.99,LED Lighting,11.37,1139.54,No,22.16,49621.15,46.71,114.13,Armenia,140.26
S001436,Rural,76.735,10.0,50.113,60.225,19.7,4.652,7715.61,57.88,26.03,LED Lighting,9.25,54.08,No,3.91,41332.86,21.88,200.48,Pakistan,48.44
S001437,Urban,125.47,244.84,139.76,83.45,11.18,33.51,1574.26,79.58,24.16,Solar Panels,18.51,3012.22,Yes,26.86,16845.18,29.2,277.41,Myanmar,131.26
S001438,Rural,102.92,127.428,76.356,42.695,12.25,23.684,7878.84,31.38,22.34,Solar Panels,25.19,67.11,No,45.73,11141.44,23.41,295.19,Nepal,84.79
S001439,Rural,29.065,38.058,133.16099999999997,28.65,20.765,16.02,,50.05,-3.65,Solar Panels,34.81,239.0,Yes,31.01,41721.84,38.33,128.84,Azerbaijan,44.95
S001440,Rural,87.055,150.504,37.925999999999995,50.86,7.57,28.32,8592.66,72.91,-7.42,Solar Panels,10.24,254.8,No,2.85,39702.97,32.14,263.78,Afghanistan,77.87
S001441,Industrial Area,31.2,266.44,180.05,59.96,40.53,53.03,1358.87,64.99,2.83,LED Lighting,18.42,946.97,Yes,29.76,21600.2,12.8,129.54,Tajikistan,105.48
S001442,Industrial Area,161.21,33.14,188.68,107.95,12.62,15.24,,58.93,7.12,LED Lighting,29.19,1399.22,Yes,14.14,19755.31,34.91,196.79,Malaysia,112.23
S001443,Suburban,232.93,221.26,30.9,117.8,45.89,74.31,3232.87,78.61999999999999,0.96,Efficient HVAC,28.86,856.53,No,43.95,21071.77,38.81,57.86,Nepal,162.14
S001444,Urban,23.01,156.95,23.57,39.34,27.52,72.0,1793.16,40.39,28.74,Solar Panels,21.02,2656.51,No,16.8,46613.65,15.22,147.6,Armenia,54.42
S001445,Rural,25.17,197.352,40.299,6.325,5.05,19.26,7929.27,62.38,-1.69,Solar Panels,34.65,125.95,No,32.29,35821.1,39.48,133.46,Indonesia,57.68
S001446,Rural,48.26,102.43799999999999,92.93199999999999,25.145,17.3,35.268,,46.94,4.3,Insulation,25.97,179.02,Yes,37.15,10261.84,40.4,208.79,Afghanistan,59.74
S001447,Urban,108.52,238.18,86.27,98.69,39.93,21.77,1804.05,42.59,23.08,LED Lighting,29.45,4117.54,Yes,23.02,25902.76,51.75,170.83,Myanmar,118.94
S001448,Industrial Area,35.6,14.04,52.19,35.29,41.8,71.92,,35.82,-5.47,Efficient HVAC,33.52,1864.27,Yes,48.17,28607.75,39.56,212.31,Vietnam,36.18
S001449,Rural,116.71,115.044,124.481,7.82,1.585,26.636000000000003,5699.9,51.79,6.64,LED Lighting,26.43,71.81,No,36.77,34587.29,11.37,65.36,Cambodia,90.64
S001450,Urban,10.74,255.23,57.49,94.53,43.29,17.29,,86.07,15.81,,35.32,2493.44,No,39.88,26870.07,50.49,115.37,China,78.61
S001451,Industrial Area,181.72,211.76,87.19,65.92,16.2,95.38,1092.21,64.52,26.83,Solar Panels,12.59,1284.86,No,11.6,6388.19,21.71,140.93,India,141.1
S001452,Rural,113.925,105.17399999999999,14.076999999999998,39.245,14.355,25.288,,50.78,5.36,Solar Panels,22.07,218.03,No,13.38,43318.71,19.91,113.83,Sri Lanka,75.34
S001453,Rural,68.645,38.087999999999994,122.192,10.28,9.025,31.764,7496.27,66.26,-7.8,Efficient HVAC,26.0,292.95,No,38.13,5995.12,20.58,206.41,Kazakhstan,56.92
S001454,Industrial Area,229.03,85.14,20.49,56.29,13.88,45.36,502.07,85.77,-3.88,LED Lighting,20.67,1769.24,Yes,29.54,36608.27,10.4,241.52,Philippines,121.0
S001455,Rural,16.075,199.77599999999998,15.575,38.18,17.655,17.580000000000002,6900.23,78.85,-5.89,Solar Panels,10.32,282.05,Yes,21.28,27763.93,22.86,93.62,Kyrgyzstan,55.18
S001456,Suburban,177.17,34.2,156.13,120.63,9.25,52.49,4678.44,76.33,-8.85,Smart Thermostats,37.55,451.69,No,39.62,42334.15,10.35,278.47,Kazakhstan,116.74
S001457,Rural,57.91,10.0,37.639,73.76,10.63,31.628,,40.92,29.76,Solar Panels,28.85,204.27,Yes,40.82,5477.55,46.45,52.61,Myanmar,40.83
S001458,Rural,56.62,60.756,11.396,13.355,12.175,7.492000000000001,7504.21,56.25,-5.08,Efficient HVAC,19.56,145.45,No,18.42,26881.36,7.03,179.84,Nepal,39.44
S001459,Rural,100.565,112.866,38.394999999999996,49.555,2.895,20.708000000000002,,37.35,20.25,Solar Panels,36.76,176.8,No,48.17,13850.2,13.88,62.52,Timor-Leste,74.84
S001460,Industrial Area,59.98,39.23,196.07,20.31,4.11,7.84,1045.12,57.9,12.18,Solar Panels,7.6,,No,4.42,40825.65,6.49,181.98,Laos,64.08
S001461,Suburban,65.53,226.01,31.31,70.15,0.95,33.93,,53.31,-7.67,Solar Panels,25.81,973.76,No,40.39,7794.82,31.41,187.96,Brunei,84.92
S001462,Industrial Area,99.01,178.62,94.86,116.01,49.11,54.94,1180.78,42.63,33.6,Efficient HVAC,5.0,874.91,Yes,,43194.68,29.42,220.17,Mongolia,108.82
S001463,Urban,110.32,142.12,116.0,58.95,20.67,59.98,591.87,56.54,13.06,Insulation,20.66,4586.75,No,,47914.72,13.47,159.45,Mongolia,100.91
S001464,Industrial Area,234.3,243.48,80.49,106.89,38.63,70.7,1159.27,64.13,0.38,Smart Thermostats,22.05,602.06,Yes,32.74,13322.86,50.26,151.53,Myanmar,172.58
S001465,Industrial Area,115.1,312.49,113.71,29.81,10.02,78.35,585.96,83.89999999999999,17.89,,16.35,978.1,Yes,19.33,39129.4,50.96,188.66,Malaysia,133.5
S001466,Urban,98.08,35.81,162.54,24.29,29.08,51.41,,42.36,5.39,LED Lighting,36.72,3029.51,No,31.06,38179.76,12.9,85.92,Turkmenistan,78.68
S001467,Suburban,223.43,86.19,114.78,8.08,43.2,18.45,5444.48,40.34,23.91,,8.57,912.04,No,9.42,26243.77,47.26,152.0,Indonesia,129.88
S001468,Rural,72.005,80.124,38.164,25.13,2.505,10.436,,59.4,18.27,LED Lighting,29.39,254.67,No,12.6,20237.26,33.68,289.21,Myanmar,53.84
S001469,Rural,37.62,52.284,62.376999999999995,64.675,5.02,16.2,8435.37,71.4,12.05,Solar Panels,27.21,215.85,No,48.54,44092.49,21.9,217.0,Azerbaijan,42.64
S001470,Industrial Area,155.37,321.67,43.93,58.69,26.9,93.04,694.71,63.32,14.69,LED Lighting,25.93,715.9,Yes,18.19,7292.33,11.79,134.16,Bangladesh,146.28
S001471,Urban,7.22,156.5,13.44,36.98,37.02,68.04,2178.51,53.26,23.94,LED Lighting,27.08,2686.8,Yes,36.09,44437.2,57.92,78.64,Kyrgyzstan,47.01
S001472,Rural,47.095,139.356,77.847,30.125,21.845,31.796,,58.87,-7.8,Efficient HVAC,17.51,204.42,Yes,,28270.52,13.17,119.13,Tajikistan,65.17
S001473,Urban,204.53,207.26,94.58,47.31,15.27,96.29,1588.32,75.42,0.8,,16.42,1630.54,Yes,17.12,38555.49,52.58,269.76,Singapore,148.52
S001474,Rural,75.87,177.996,130.87199999999999,13.45,14.955,22.292,9390.63,67.65,16.57,Efficient HVAC,18.95,219.22,Yes,22.22,31875.95,11.03,275.23,Kazakhstan,89.53
S001475,Industrial Area,67.9,64.35,135.23,17.62,3.82,4.39,1397.83,37.55,1.56,LED Lighting,32.61,,Yes,38.97,29554.04,31.75,278.25,Uzbekistan,62.68
S001476,Rural,68.65,83.77799999999999,103.446,16.325,10.92,21.592,6270.68,65.28,16.08,Solar Panels,5.29,83.1,No,1.97,13742.7,55.59,151.43,Mongolia,63.54
S001477,Industrial Area,23.59,209.7,191.69,94.31,39.85,46.91,876.7,68.59,31.83,LED Lighting,37.6,1874.93,No,43.66,41050.04,35.91,93.74,Kazakhstan,95.89
S001478,Industrial Area,156.79,207.9,96.44,75.59,48.17,85.45,663.18,85.75,-0.67,,17.9,656.76,No,10.6,5082.76,16.43,147.94,Mongolia,135.41
S001479,Urban,106.44,83.47,45.93,44.07,15.02,29.42,682.46,51.86,24.77,Efficient HVAC,23.57,,Yes,,36230.44,40.63,116.18,Singapore,73.54
S001480,Industrial Area,178.66,235.6,42.65,49.69,13.93,30.49,,54.400000000000006,12.89,,21.62,1060.96,Yes,,46235.97,51.27,188.39,Vietnam,132.87
S001481,Urban,33.86,181.45,144.5,123.62,24.76,65.24,2349.88,71.94,19.99,Solar Panels,28.09,3632.33,No,27.28,40057.42,12.09,96.66,Philippines,89.61
S001482,Industrial Area,148.06,14.25,185.91,30.48,45.72,6.82,1488.49,42.18,20.27,LED Lighting,23.69,1482.95,Yes,42.28,47936.53,13.69,289.88,Thailand,97.92
S001483,Rural,112.01,22.032,114.62499999999999,45.795,23.02,8.736,5467.02,30.34,15.82,LED Lighting,11.37,102.37,No,5.25,10175.77,5.33,139.15,Georgia,73.72
S001484,Urban,44.64,261.7,196.07,45.63,41.54,62.09,671.63,59.57,19.99,Efficient HVAC,25.88,4200.81,No,,27454.76,30.85,297.2,Pakistan,111.43
S001485,Rural,103.73,199.356,123.00399999999999,17.755,24.205,27.488,6722.4,31.25,32.36,LED Lighting,28.93,113.7,No,37.71,33103.46,28.44,262.57,Armenia,105.38
S001486,Suburban,79.55,324.56,194.46,94.08,4.9,93.48,,55.910000000000004,6.27,Efficient HVAC,10.63,325.93,No,16.82,45467.09,39.77,127.26,Philippines,140.47
S001487,Urban,60.13,180.4,80.4,86.55,18.13,9.65,1542.66,68.59,34.56,Solar Panels,10.82,4109.69,Yes,18.33,19834.45,43.17,189.77,Thailand,83.14
S001488,Urban,152.78,186.13,90.54,110.08,43.07,17.98,,48.49,10.14,Efficient HVAC,5.84,2322.45,No,8.55,15433.49,51.75,121.24,Turkmenistan,128.13
S001489,Urban,77.67,127.14,18.02,72.81,34.33,83.09,700.12,32.95,-8.92,,23.58,2468.06,No,26.4,33884.04,24.02,104.55,Vietnam,74.07
S001490,Industrial Area,213.39,116.74,105.22,32.6,10.14,64.86,,44.120000000000005,14.48,Solar Panels,34.86,919.42,Yes,30.63,10828.88,59.46,226.74,Yemen,132.0
S001491,Urban,150.14,189.02,18.3,134.42,49.2,22.8,,47.95,2.24,Solar Panels,23.75,,No,15.07,18626.45,7.02,51.58,Yemen,120.11
S001492,Rural,60.185,54.438,10.0,6.855,1.27,35.648,6120.44,45.29,30.0,LED Lighting,28.35,247.09,Yes,14.87,17963.51,31.02,154.57,Yemen,39.06
S001493,Industrial Area,33.01,280.69,130.09,138.98,26.15,89.37,875.34,40.13,30.85,Insulation,11.34,1839.97,Yes,17.82,27582.78,24.78,161.32,Nepal,109.84
S001494,Industrial Area,111.86,135.39,136.01,110.64,33.56,82.92,725.27,65.67,-5.08,Smart Thermostats,39.28,1007.25,No,36.92,12157.5,31.35,131.22,Mongolia,110.79
S001495,Urban,106.15,140.34,100.0,21.64,28.96,4.71,523.65,38.27,25.72,Efficient HVAC,12.61,2670.81,No,21.9,15387.71,33.1,168.93,Indonesia,90.82
S001496,Industrial Area,176.01,273.02,135.49,96.99,18.74,76.66,510.84,86.22,21.95,Insulation,28.52,1020.98,Yes,31.12,24077.77,38.95,148.2,Uzbekistan,160.74
S001497,Rural,83.9,156.78,82.83099999999999,68.665,11.335,18.472,7484.35,49.93,-6.29,,39.39,,Yes,33.57,35609.23,47.75,288.75,Azerbaijan,86.26
S001498,Industrial Area,7.79,91.77,99.47,92.13,45.27,45.26,825.69,70.47,24.91,Smart Thermostats,9.57,1317.49,No,0.99,24131.35,59.0,258.79,Bhutan,52.39
S001499,Industrial Area,84.79,12.59,152.21,121.74,33.78,32.61,657.84,30.42,19.43,Solar Panels,6.0,1086.81,No,8.57,37605.78,10.5,113.11,Yemen,76.45
S001500,Industrial Area,71.27,325.39,91.07,73.87,3.42,78.04,1100.99,76.36,12.06,Solar Panels,25.71,754.25,Yes,41.28,44408.38,19.12,294.35,Kazakhstan,118.88
S001501,Suburban,182.05,312.33,179.79,13.05,24.36,92.26,,46.5,20.71,Efficient HVAC,30.82,353.93,Yes,43.81,18283.51,38.96,163.58,Bhutan,170.61
S001502,Urban,40.96,32.98,54.22,87.62,22.43,52.13,1035.14,70.52,15.5,Efficient HVAC,25.82,4894.11,Yes,27.6,48189.16,44.45,183.86,Brunei,44.72
S001503,Rural,9.16,73.452,138.096,5.0,10.42,7.4959999999999996,,45.2,-6.5,Efficient HVAC,34.95,274.29,Yes,41.11,43160.99,7.27,269.52,Thailand,40.99
S001504,Urban,114.27,279.13,161.2,34.62,49.19,68.88,1766.1,73.92999999999999,15.51,Efficient HVAC,27.82,3626.42,No,34.93,28466.61,20.04,215.32,Malaysia,137.54
S001505,Urban,138.55,39.77,162.21,50.76,45.68,89.78,2585.58,46.87,33.44,Smart Thermostats,22.64,2877.89,Yes,25.25,9656.02,41.32,247.13,Thailand,101.84
S001506,Rural,17.57,93.342,131.915,51.16,14.95,9.428,,51.98,34.01,Efficient HVAC,38.5,108.14,Yes,36.48,30179.33,55.93,73.15,Cambodia,52.57
S001507,Industrial Area,83.48,349.57,190.91,11.29,14.98,47.58,,77.81,12.91,Efficient HVAC,28.0,1111.38,Yes,13.44,21557.84,19.32,146.92,Singapore,136.95
S001508,Rural,101.615,51.966,115.42999999999999,8.855,14.94,24.964,8118.43,32.82,20.62,Smart Thermostats,28.18,223.49,Yes,13.65,23088.47,44.47,208.89,Kazakhstan,71.98
S001509,Rural,102.21,31.776,43.995,23.885,2.835,14.076,9408.16,53.82,3.56,Efficient HVAC,17.67,126.44,Yes,29.02,32507.68,37.12,60.33,Uzbekistan,57.21
S001510,Rural,100.12,24.179999999999996,118.14599999999999,68.65,23.835,4.276,6031.31,63.64,15.94,LED Lighting,8.24,152.13,No,3.76,47513.84,47.83,224.87,Kazakhstan,72.07
S001511,Urban,8.96,12.25,142.85,73.3,42.99,52.75,2294.57,30.23,9.71,Solar Panels,38.16,1145.96,Yes,40.24,21828.81,39.82,276.41,Maldives,41.73
S001512,Urban,215.42,173.16,13.2,48.96,18.0,22.9,,59.910000000000004,9.76,LED Lighting,20.46,4262.44,Yes,43.78,15246.76,48.62,149.52,Myanmar,130.62
S001513,Industrial Area,179.96,273.87,160.42,144.85,15.02,42.95,1088.96,76.77,-9.62,Efficient HVAC,32.8,1859.03,No,46.38,40471.99,57.21,201.41,Georgia,168.96
S001514,Rural,22.105,203.958,128.17,55.155,9.305,30.900000000000002,5959.77,79.00999999999999,21.91,Solar Panels,26.01,171.1,Yes,19.43,16367.2,48.14,254.37,Maldives,76.85
S001515,Industrial Area,181.62,252.75,104.55,13.9,12.54,87.9,1185.74,43.17,13.57,Solar Panels,25.56,895.82,Yes,13.83,37887.02,17.56,200.07,Kyrgyzstan,145.92
S001516,Rural,79.26,89.958,122.59799999999998,13.21,23.68,9.248000000000001,6818.06,73.59,17.62,LED Lighting,29.73,,No,17.88,21528.8,46.02,254.7,Bangladesh,72.24
S001517,Rural,20.65,141.126,117.481,13.155,14.245,36.836000000000006,5792.46,43.01,5.77,Solar Panels,19.75,245.59,No,25.87,46776.2,24.58,99.59,Maldives,58.69
S001518,Urban,169.38,89.67,151.2,70.72,32.51,48.38,2164.08,85.13,0.77,Solar Panels,6.22,4186.42,Yes,5.39,40010.1,18.2,206.53,India,121.11
S001519,Urban,30.98,144.33,50.33,112.54,10.86,96.78,,56.39,25.54,LED Lighting,37.4,3249.31,No,42.58,34548.47,36.15,66.69,Afghanistan,65.99
S001520,Urban,195.12,42.16,70.15,102.54,43.63,84.15,2783.13,73.89,27.55,Solar Panels,28.28,1145.03,No,32.35,38746.83,26.7,220.76,Cambodia,115.83
S001521,Rural,74.445,39.144,134.92499999999998,54.02,0.5,11.084000000000001,8270.79,74.68,-3.4,Efficient HVAC,36.55,,No,44.45,30051.89,5.35,149.9,Georgia,63.85
S001522,Industrial Area,25.76,166.74,194.02,27.56,40.78,59.05,820.32,62.5,11.52,Solar Panels,35.49,,No,44.35,33673.3,27.97,61.02,Kazakhstan,82.54
S001523,Urban,238.42,75.07,46.18,28.81,45.58,48.43,,86.83999999999999,10.44,Solar Panels,5.52,3437.68,Yes,2.03,11071.38,31.45,209.35,Pakistan,127.17
S001524,Industrial Area,164.94,330.17,151.03,41.24,18.66,28.02,638.12,66.76,14.08,Smart Thermostats,11.24,1423.82,Yes,20.08,29761.96,43.09,147.09,Bhutan,162.06
S001525,Industrial Area,119.56,212.08,83.35,24.91,12.21,73.84,1086.33,65.88,10.37,Efficient HVAC,25.54,1384.29,Yes,38.49,15743.66,16.93,193.87,Turkmenistan,110.15
S001526,Industrial Area,22.03,184.8,79.29,13.88,26.32,59.95,607.41,77.73,9.61,Solar Panels,39.34,656.71,No,49.52,40706.47,32.05,113.65,Afghanistan,64.68
S001527,Rural,89.06,15.876,11.27,32.255,4.495,25.444000000000003,8245.73,60.42,23.54,Efficient HVAC,30.39,215.13,Yes,32.56,34418.08,54.65,66.91,Nepal,45.44
S001528,Rural,94.83,152.784,118.91599999999998,26.525,17.45,30.764,7064.7,78.63,-5.13,LED Lighting,37.4,,Yes,41.6,38292.44,22.91,220.77,Mongolia,92.26
S001529,Industrial Area,96.31,72.34,14.75,93.59,43.91,58.39,854.34,56.48,28.08,Smart Thermostats,12.9,,No,5.64,7738.87,30.19,63.93,China,71.87
S001530,Industrial Area,170.2,192.07,190.9,56.75,7.96,7.09,618.0,46.440000000000005,8.36,Solar Panels,28.17,777.03,Yes,40.77,46471.29,38.09,69.21,Nepal,141.95
S001531,Urban,216.9,19.01,60.7,138.0,12.59,98.49,1447.48,64.32,11.88,Efficient HVAC,19.51,3201.4,Yes,18.39,12107.8,55.15,86.32,Mongolia,119.65
S001532,Industrial Area,50.74,190.98,110.92,39.91,26.11,60.71,1024.84,57.59,12.63,Solar Panels,31.04,1213.81,No,32.44,12332.93,49.8,251.72,Sri Lanka,84.77
S001533,Rural,116.215,84.072,48.657000000000004,8.72,24.21,37.44,8735.9,47.44,4.84,Efficient HVAC,17.7,158.93,No,11.18,16178.58,37.07,299.3,Bangladesh,75.76
S001534,Rural,21.065,177.426,94.77299999999998,15.445,21.975,36.796,,68.3,-4.17,Solar Panels,17.2,104.23,No,15.09,17513.76,5.23,140.39,Cambodia,63.71
S001535,Urban,241.51,148.55,11.27,93.28,26.18,30.77,2747.08,59.050000000000004,28.64,Smart Thermostats,5.49,4917.61,Yes,1.58,40894.85,28.4,204.36,Indonesia,141.49
S001536,Rural,40.675,84.83399999999999,72.13499999999999,72.14,5.535,2.904,7411.74,72.07,-8.12,Solar Panels,33.78,57.57,Yes,36.73,8283.78,38.78,80.5,Uzbekistan,51.97
S001537,Urban,100.1,102.42,116.94,78.34,43.99,91.03,,42.13,15.59,Solar Panels,26.19,4573.65,Yes,,49745.79,10.36,147.94,Tajikistan,94.85
S001538,Urban,162.87,313.01,133.09,63.5,14.89,13.15,,68.19,21.49,Solar Panels,25.04,,No,37.4,39512.66,8.57,54.02,Maldives,156.21
S001539,Industrial Area,36.46,11.63,178.48,96.31,45.99,96.73,671.46,35.73,-6.26,Solar Panels,11.33,564.18,No,4.8,23469.78,17.78,55.28,Sri Lanka,62.75
S001540,Urban,137.13,180.37,196.36,111.11,44.84,33.28,2345.44,60.64,18.04,Solar Panels,24.68,2428.65,No,,5086.05,20.61,226.25,Uzbekistan,137.64
S001541,Urban,170.41,111.69,117.66,41.01,37.27,24.34,1240.95,55.07,20.05,LED Lighting,24.52,,No,24.68,45641.89,31.42,187.77,Thailand,117.2
S001542,Rural,118.155,109.08,80.423,14.14,17.13,19.752000000000002,6625.45,53.17,-0.56,LED Lighting,26.68,87.83,No,39.97,33443.42,36.3,93.0,Azerbaijan,85.26
S001543,Urban,237.16,225.1,112.36,47.71,36.36,43.85,2340.41,46.480000000000004,3.13,,34.32,4778.68,Yes,34.8,16301.9,38.85,94.7,Bhutan,167.34
S001544,Suburban,50.7,116.32,50.21,36.27,39.22,83.08,5177.07,78.21,-4.92,Smart Thermostats,23.01,861.7,Yes,22.98,5739.5,26.9,241.26,Kyrgyzstan,62.78
S001545,Rural,93.66,125.68199999999999,14.147,58.37,11.285,21.064,8399.9,79.81,9.02,Solar Panels,22.4,251.96,No,30.92,9924.3,35.92,128.76,Bhutan,72.74
S001546,Rural,39.03,29.406,89.859,9.095,19.515,24.028000000000002,5972.67,71.91,26.36,Efficient HVAC,17.73,285.28,No,20.3,29178.39,33.92,178.62,India,39.03
S001547,Urban,24.78,175.21,134.13,98.14,10.36,60.22,,35.15,3.3,Efficient HVAC,23.15,1162.23,No,43.4,7349.19,40.38,187.09,Singapore,78.93
S001548,Suburban,5.18,106.19,107.56,48.26,10.62,96.29,4210.09,35.02,-9.21,Smart Thermostats,30.03,462.33,No,37.83,48413.91,5.27,131.33,India,50.15
S001549,Industrial Area,234.1,113.73,87.07,144.22,21.38,54.26,631.55,40.03,-0.49,Solar Panels,18.46,1726.21,No,22.63,8904.21,46.74,119.58,Armenia,148.72
S001550,Rural,29.005,98.23799999999999,13.734,12.28,19.955,16.436000000000003,7464.1,65.53,3.79,Efficient HVAC,16.09,120.56,No,,21606.58,5.49,136.06,Philippines,37.36
S001551,Industrial Area,88.12,241.45,118.66,90.12,41.74,26.33,1138.59,60.010000000000005,34.47,Solar Panels,30.51,988.68,No,48.29,37983.82,24.56,253.69,Afghanistan,115.84
S001552,Industrial Area,178.99,131.8,74.26,96.72,9.4,5.62,917.51,53.1,20.93,LED Lighting,7.2,633.83,No,7.49,32845.21,11.64,293.97,Uzbekistan,119.99
S001553,Urban,219.36,248.55,50.09,16.5,23.04,43.63,838.69,76.03,26.62,,35.92,2901.0,Yes,49.16,23101.84,32.32,295.47,Sri Lanka,151.1
S001554,Urban,59.27,315.57,10.77,142.49,28.2,86.37,,60.28,-3.24,Solar Panels,20.0,2288.94,No,26.68,42642.81,18.66,144.71,Pakistan,109.82
S001555,Industrial Area,198.04,260.1,157.93,90.6,5.89,61.34,,43.02,34.37,Solar Panels,11.2,901.19,Yes,2.11,18965.95,49.37,84.07,Yemen,167.64
S001556,Rural,73.185,183.26999999999998,16.674,61.925,23.82,19.236000000000004,6911.3,30.89,10.7,LED Lighting,12.25,,No,29.5,9005.97,58.28,87.53,Pakistan,77.97
S001557,Suburban,175.01,42.5,100.6,135.71,16.87,87.11,,61.25,17.84,LED Lighting,34.32,843.87,No,30.39,23248.92,20.34,291.95,Pakistan,113.21
S001558,Industrial Area,188.68,128.4,88.19,146.27,33.45,16.52,690.82,55.07,14.69,Efficient HVAC,10.28,1924.38,Yes,19.03,29237.89,43.68,160.0,Singapore,133.18
S001559,Urban,212.51,229.4,151.24,101.69,42.76,64.83,2988.13,72.47,-8.75,Solar Panels,24.86,1123.49,No,48.32,38641.91,5.27,184.27,Nepal,171.26
S001560,Industrial Area,186.57,29.46,130.69,105.84,45.77,92.75,800.47,38.99,0.44,Efficient HVAC,34.47,794.35,Yes,35.17,46355.45,26.08,145.55,Kyrgyzstan,119.92
S001561,Rural,40.41,46.044,39.025,7.81,14.035,11.956000000000001,8536.87,55.25,33.9,Solar Panels,11.56,130.34,No,2.33,6725.28,58.01,67.64,Cambodia,34.01
S001562,Rural,27.28,182.04,61.760999999999996,8.995,22.195,9.964,,44.17,27.18,Smart Thermostats,39.72,63.82,Yes,37.46,13494.22,57.43,298.7,Vietnam,60.2
S001563,Rural,44.955,171.91799999999998,111.41199999999999,21.785,23.925,22.872,8133.25,41.76,34.26,Solar Panels,10.43,,Yes,,42647.43,10.06,179.11,Maldives,74.79
S001564,Industrial Area,200.12,232.6,53.02,116.71,5.99,59.97,1000.17,80.53,-1.24,LED Lighting,11.2,612.55,No,12.05,21539.68,59.68,256.75,Malaysia,149.79
S001565,Rural,105.06,144.15599999999998,61.18,57.81,6.12,14.688,,74.04,7.18,Solar Panels,22.21,292.95,No,18.83,39126.16,53.01,195.45,Tajikistan,87.16
S001566,Urban,71.71,14.06,82.7,29.64,45.32,30.49,634.25,42.51,-1.18,Solar Panels,10.77,4289.2,No,26.51,26806.93,15.43,144.91,Uzbekistan,52.92
S001567,Urban,107.0,83.13,155.0,85.08,9.05,54.75,2239.74,68.18,9.27,Efficient HVAC,15.66,4222.65,No,24.82,22719.8,31.2,119.96,Georgia,94.83
S001568,Rural,90.93,203.90399999999997,137.291,9.8,12.275,33.348000000000006,8289.72,66.7,21.79,Efficient HVAC,12.56,148.45,No,11.93,16708.25,6.51,259.61,Timor-Leste,101.62
S001569,Industrial Area,146.05,108.57,168.92,123.3,28.53,57.27,,48.24,20.26,Solar Panels,22.86,1976.49,No,11.75,5540.61,46.58,279.1,Bangladesh,123.52
